period,area_code,area_name,unit,geography,measure,value
2018-06-30,E01006091,Trafford 019A,Persons,LSOA,Over 70,123
2018-06-30,E01006092,Trafford 019B,Persons,LSOA,Over 70,81
2018-06-30,E01006095,Trafford 019C,Persons,LSOA,Over 70,216
2018-06-30,E01006097,Trafford 015A,Persons,LSOA,Over 70,361
2018-06-30,E01006098,Trafford 014A,Persons,LSOA,Over 70,213
2018-06-30,E01006099,Trafford 014B,Persons,LSOA,Over 70,178
2018-06-30,E01006102,Trafford 018A,Persons,LSOA,Over 70,183
2018-06-30,E01006104,Trafford 017A,Persons,LSOA,Over 70,255
2018-06-30,E01006105,Trafford 017B,Persons,LSOA,Over 70,114
2018-06-30,E01006106,Trafford 017C,Persons,LSOA,Over 70,215
2018-06-30,E01006107,Trafford 017D,Persons,LSOA,Over 70,229
2018-06-30,E01006108,Trafford 017E,Persons,LSOA,Over 70,51
2018-06-30,E01006109,Trafford 001A,Persons,LSOA,Over 70,94
2018-06-30,E01006110,Trafford 001B,Persons,LSOA,Over 70,137
2018-06-30,E01006111,Trafford 001C,Persons,LSOA,Over 70,87
2018-06-30,E01006112,Trafford 001D,Persons,LSOA,Over 70,130
2018-06-30,E01006113,Trafford 004A,Persons,LSOA,Over 70,148
2018-06-30,E01006114,Trafford 004B,Persons,LSOA,Over 70,161
2018-06-30,E01006115,Trafford 004C,Persons,LSOA,Over 70,146
2018-06-30,E01006116,Trafford 002A,Persons,LSOA,Over 70,193
2018-06-30,E01006117,Trafford 002B,Persons,LSOA,Over 70,245
2018-06-30,E01006118,Trafford 002C,Persons,LSOA,Over 70,229
2018-06-30,E01006119,Trafford 002D,Persons,LSOA,Over 70,208
2018-06-30,E01006120,Trafford 010A,Persons,LSOA,Over 70,261
2018-06-30,E01006121,Trafford 002E,Persons,LSOA,Over 70,216
2018-06-30,E01006122,Trafford 005A,Persons,LSOA,Over 70,349
2018-06-30,E01006123,Trafford 005B,Persons,LSOA,Over 70,254
2018-06-30,E01006124,Trafford 005C,Persons,LSOA,Over 70,257
2018-06-30,E01006125,Trafford 007A,Persons,LSOA,Over 70,224
2018-06-30,E01006126,Trafford 007B,Persons,LSOA,Over 70,211
2018-06-30,E01006127,Trafford 007C,Persons,LSOA,Over 70,202
2018-06-30,E01006128,Trafford 005D,Persons,LSOA,Over 70,290
2018-06-30,E01006129,Trafford 010B,Persons,LSOA,Over 70,277
2018-06-30,E01006130,Trafford 007D,Persons,LSOA,Over 70,238
2018-06-30,E01006131,Trafford 005E,Persons,LSOA,Over 70,230
2018-06-30,E01006132,Trafford 007E,Persons,LSOA,Over 70,206
2018-06-30,E01006133,Trafford 010C,Persons,LSOA,Over 70,302
2018-06-30,E01006141,Trafford 003A,Persons,LSOA,Over 70,124
2018-06-30,E01006142,Trafford 011A,Persons,LSOA,Over 70,234
2018-06-30,E01006143,Trafford 011B,Persons,LSOA,Over 70,219
2018-06-30,E01006144,Trafford 011C,Persons,LSOA,Over 70,155
2018-06-30,E01006145,Trafford 004D,Persons,LSOA,Over 70,180
2018-06-30,E01006146,Trafford 004E,Persons,LSOA,Over 70,182
2018-06-30,E01006147,Trafford 012A,Persons,LSOA,Over 70,183
2018-06-30,E01006148,Trafford 016A,Persons,LSOA,Over 70,343
2018-06-30,E01006149,Trafford 012B,Persons,LSOA,Over 70,226
2018-06-30,E01006150,Trafford 012C,Persons,LSOA,Over 70,305
2018-06-30,E01006151,Trafford 016B,Persons,LSOA,Over 70,275
2018-06-30,E01006152,Trafford 016C,Persons,LSOA,Over 70,324
2018-06-30,E01006153,Trafford 016D,Persons,LSOA,Over 70,309
2018-06-30,E01006154,Trafford 012D,Persons,LSOA,Over 70,125
2018-06-30,E01006155,Trafford 006A,Persons,LSOA,Over 70,188
2018-06-30,E01006156,Trafford 008A,Persons,LSOA,Over 70,191
2018-06-30,E01006157,Trafford 006B,Persons,LSOA,Over 70,148
2018-06-30,E01006158,Trafford 008B,Persons,LSOA,Over 70,162
2018-06-30,E01006159,Trafford 006C,Persons,LSOA,Over 70,120
2018-06-30,E01006160,Trafford 015B,Persons,LSOA,Over 70,309
2018-06-30,E01006161,Trafford 015C,Persons,LSOA,Over 70,254
2018-06-30,E01006162,Trafford 015D,Persons,LSOA,Over 70,161
2018-06-30,E01006163,Trafford 015E,Persons,LSOA,Over 70,130
2018-06-30,E01006164,Trafford 014C,Persons,LSOA,Over 70,256
2018-06-30,E01006165,Trafford 012E,Persons,LSOA,Over 70,126
2018-06-30,E01006166,Trafford 013A,Persons,LSOA,Over 70,189
2018-06-30,E01006167,Trafford 019D,Persons,LSOA,Over 70,153
2018-06-30,E01006169,Trafford 013B,Persons,LSOA,Over 70,263
2018-06-30,E01006170,Trafford 013C,Persons,LSOA,Over 70,213
2018-06-30,E01006171,Trafford 013D,Persons,LSOA,Over 70,162
2018-06-30,E01006172,Trafford 016E,Persons,LSOA,Over 70,331
2018-06-30,E01006173,Trafford 018B,Persons,LSOA,Over 70,214
2018-06-30,E01006174,Trafford 014D,Persons,LSOA,Over 70,259
2018-06-30,E01006175,Trafford 018C,Persons,LSOA,Over 70,199
2018-06-30,E01006176,Trafford 018D,Persons,LSOA,Over 70,234
2018-06-30,E01006177,Trafford 018E,Persons,LSOA,Over 70,122
2018-06-30,E01006178,Trafford 014E,Persons,LSOA,Over 70,241
2018-06-30,E01006179,Trafford 008C,Persons,LSOA,Over 70,232
2018-06-30,E01006180,Trafford 011D,Persons,LSOA,Over 70,117
2018-06-30,E01006181,Trafford 011E,Persons,LSOA,Over 70,180
2018-06-30,E01006182,Trafford 006D,Persons,LSOA,Over 70,172
2018-06-30,E01006183,Trafford 006E,Persons,LSOA,Over 70,185
2018-06-30,E01006184,Trafford 008D,Persons,LSOA,Over 70,252
2018-06-30,E01006185,Trafford 001E,Persons,LSOA,Over 70,94
2018-06-30,E01006186,Trafford 003B,Persons,LSOA,Over 70,141
2018-06-30,E01006187,Trafford 003C,Persons,LSOA,Over 70,139
2018-06-30,E01006188,Trafford 001F,Persons,LSOA,Over 70,93
2018-06-30,E01006189,Trafford 003D,Persons,LSOA,Over 70,177
2018-06-30,E01006197,Trafford 010D,Persons,LSOA,Over 70,194
2018-06-30,E01006198,Trafford 009A,Persons,LSOA,Over 70,276
2018-06-30,E01006199,Trafford 009B,Persons,LSOA,Over 70,175
2018-06-30,E01006200,Trafford 009C,Persons,LSOA,Over 70,392
2018-06-30,E01006201,Trafford 009D,Persons,LSOA,Over 70,121
2018-06-30,E01006202,Trafford 009E,Persons,LSOA,Over 70,173
2018-06-30,E01006203,Trafford 010E,Persons,LSOA,Over 70,185
