area_code,area_name,total_population,n,percent
E01006074,Trafford 025A,1712,227,0.13259345794392524
E01006075,Trafford 025B,2284,334,0.14623467600700527
E01006076,Trafford 025C,1727,431,0.2495657209033005
E01006077,Trafford 027A,1693,247,0.14589486119314826
E01006078,Trafford 024A,2188,165,0.07541133455210237
E01006079,Trafford 025D,2451,243,0.09914320685434516
E01006080,Trafford 024B,1986,297,0.14954682779456194
E01006081,Trafford 027B,1399,270,0.19299499642601858
E01006082,Trafford 027C,1657,311,0.18768859384429692
E01006083,Trafford 026A,1319,192,0.14556482183472327
E01006084,Trafford 026B,1780,191,0.10730337078651686
E01006085,Trafford 027D,1613,288,0.17854928704277742
E01006086,Trafford 027E,1716,299,0.17424242424242425
E01006087,Trafford 025E,1495,263,0.17591973244147158
E01006088,Trafford 026C,1639,131,0.07992678462477121
E01006089,Trafford 024C,1888,155,0.08209745762711865
E01006090,Trafford 020A,2258,298,0.13197519929140833
E01006091,Trafford 019A,2789,123,0.04410182861240588
E01006092,Trafford 019B,1406,81,0.057610241820768134
E01006093,Trafford 023A,1595,211,0.1322884012539185
E01006094,Trafford 020B,1596,237,0.14849624060150377
E01006095,Trafford 019C,1801,216,0.11993337034980567
E01006096,Trafford 020C,1643,176,0.10712111990261716
E01006097,Trafford 015A,1949,361,0.18522319138019497
E01006098,Trafford 014A,1358,213,0.1568483063328424
E01006099,Trafford 014B,1302,178,0.13671274961597543
E01006100,Trafford 020D,1547,211,0.1363930187459599
E01006101,Trafford 021A,1473,207,0.14052953156822812
E01006102,Trafford 018A,1409,183,0.12987934705464868
E01006103,Trafford 020E,1627,184,0.11309157959434542
E01006104,Trafford 017A,1501,255,0.1698867421718854
E01006105,Trafford 017B,2251,114,0.050644158151932475
E01006106,Trafford 017C,1569,215,0.13702995538559593
E01006107,Trafford 017D,1533,229,0.14938030006523156
E01006108,Trafford 017E,1783,51,0.02860347728547392
E01006109,Trafford 001A,1273,94,0.07384131971720345
E01006110,Trafford 001B,1796,137,0.07628062360801782
E01006111,Trafford 001C,1831,87,0.047515019115237575
E01006112,Trafford 001D,1925,130,0.06753246753246753
E01006113,Trafford 004A,1518,148,0.09749670619235837
E01006114,Trafford 004B,1769,161,0.09101187111362352
E01006115,Trafford 004C,1624,146,0.08990147783251232
E01006116,Trafford 002A,1385,193,0.13935018050541517
E01006117,Trafford 002B,1689,245,0.14505624629958555
E01006118,Trafford 002C,1481,229,0.15462525320729237
E01006119,Trafford 002D,1587,208,0.13106490233144297
E01006120,Trafford 010A,1401,261,0.18629550321199143
E01006121,Trafford 002E,1508,216,0.14323607427055704
E01006122,Trafford 005A,1768,349,0.19739819004524886
E01006123,Trafford 005B,1696,254,0.14976415094339623
E01006124,Trafford 005C,1429,257,0.17984604618614417
E01006125,Trafford 007A,1468,224,0.15258855585831063
E01006126,Trafford 007B,1778,211,0.1186726659167604
E01006127,Trafford 007C,1582,202,0.1276864728192162
E01006128,Trafford 005D,1824,290,0.15899122807017543
E01006129,Trafford 010B,1397,277,0.19828203292770222
E01006130,Trafford 007D,1755,238,0.1356125356125356
E01006131,Trafford 005E,1607,230,0.1431238332296204
E01006132,Trafford 007E,1516,206,0.1358839050131926
E01006133,Trafford 010C,1393,302,0.21679827709978464
E01006134,Trafford 028A,1513,223,0.14738929279576998
E01006135,Trafford 028B,1753,409,0.23331431831146607
E01006136,Trafford 028C,1642,299,0.182095006090134
E01006137,Trafford 028D,1426,234,0.1640953716690042
E01006138,Trafford 028E,1912,365,0.19089958158995815
E01006139,Trafford 026D,1904,209,0.10976890756302521
E01006140,Trafford 026E,1774,172,0.09695603156708005
E01006141,Trafford 003A,1695,124,0.07315634218289085
E01006142,Trafford 011A,1779,234,0.1315345699831366
E01006143,Trafford 011B,1694,219,0.12927981109799291
E01006144,Trafford 011C,1403,155,0.1104775481111903
E01006145,Trafford 004D,1951,180,0.09226037929267042
E01006146,Trafford 004E,1770,182,0.10282485875706214
E01006147,Trafford 012A,1443,183,0.12681912681912683
E01006148,Trafford 016A,1772,343,0.1935665914221219
E01006149,Trafford 012B,1599,226,0.14133833646028768
E01006150,Trafford 012C,1871,305,0.1630144307856761
E01006151,Trafford 016B,1552,275,0.17719072164948454
E01006152,Trafford 016C,1618,324,0.20024721878862795
E01006153,Trafford 016D,1541,309,0.20051914341336793
E01006154,Trafford 012D,1533,125,0.08153946510110893
E01006155,Trafford 006A,1605,188,0.11713395638629283
E01006156,Trafford 008A,1693,191,0.112817483756645
E01006157,Trafford 006B,1774,148,0.0834272829763247
E01006158,Trafford 008B,1723,162,0.09402205455600697
E01006159,Trafford 006C,1872,120,0.0641025641025641
E01006160,Trafford 015B,2184,309,0.14148351648351648
E01006161,Trafford 015C,2389,254,0.10632063624947677
E01006162,Trafford 015D,1728,161,0.0931712962962963
E01006163,Trafford 015E,1922,130,0.06763787721123829
E01006164,Trafford 014C,1801,256,0.14214325374791784
E01006165,Trafford 012E,2062,126,0.061105722599418044
E01006166,Trafford 013A,1542,189,0.122568093385214
E01006167,Trafford 019D,1639,153,0.09334960341671751
E01006168,Trafford 019E,1979,143,0.07225871652349672
E01006169,Trafford 013B,1640,263,0.1603658536585366
E01006170,Trafford 013C,1557,213,0.13680154142581888
E01006171,Trafford 013D,1811,162,0.0894533406957482
E01006172,Trafford 016E,1520,331,0.21776315789473685
E01006173,Trafford 018B,1513,214,0.14144084600132187
E01006174,Trafford 014D,1832,259,0.1413755458515284
E01006175,Trafford 018C,1722,199,0.11556329849012775
E01006176,Trafford 018D,1736,234,0.1347926267281106
E01006177,Trafford 018E,1766,122,0.06908267270668177
E01006178,Trafford 014E,1943,241,0.1240349974266598
E01006179,Trafford 008C,1765,232,0.13144475920679888
E01006180,Trafford 011D,1883,117,0.06213489113117366
E01006181,Trafford 011E,1644,180,0.10948905109489052
E01006182,Trafford 006D,1545,172,0.11132686084142394
E01006183,Trafford 006E,1706,185,0.10844079718640094
E01006184,Trafford 008D,1799,252,0.14007782101167315
E01006185,Trafford 001E,2416,94,0.03890728476821192
E01006186,Trafford 003B,1986,141,0.07099697885196375
E01006187,Trafford 003C,2547,139,0.05457400863761288
E01006188,Trafford 001F,1693,93,0.05493207324276432
E01006189,Trafford 003D,2300,177,0.07695652173913044
E01006190,Trafford 021B,1713,254,0.14827787507297138
E01006191,Trafford 023B,1554,250,0.16087516087516088
E01006192,Trafford 023C,1477,283,0.1916046039268788
E01006193,Trafford 024D,1563,204,0.13051823416506717
E01006194,Trafford 024E,2497,143,0.05726872246696035
E01006195,Trafford 021C,1799,239,0.13285158421345192
E01006196,Trafford 021D,1845,194,0.1051490514905149
E01006197,Trafford 010D,1476,194,0.13143631436314362
E01006198,Trafford 009A,1494,276,0.18473895582329317
E01006199,Trafford 009B,1667,175,0.10497900419916016
E01006200,Trafford 009C,1479,392,0.2650439486139283
E01006201,Trafford 009D,1550,121,0.07806451612903226
E01006202,Trafford 009E,1411,173,0.12260807937632884
E01006203,Trafford 010E,1369,185,0.13513513513513514
E01006204,Trafford 022A,1580,328,0.20759493670886076
E01006205,Trafford 023D,1344,269,0.20014880952380953
E01006206,Trafford 022B,1911,206,0.10779696493982208
E01006207,Trafford 022C,1707,219,0.1282952548330404
E01006208,Trafford 022D,1630,234,0.14355828220858896
E01006209,Trafford 023E,1659,329,0.19831223628691982
E01006210,Trafford 021E,1736,240,0.1382488479262673
E01006211,Trafford 022E,1590,208,0.13081761006289308
